,target,1,2,3,4,5
24,http://www.dialog-21.ru/media/1238/dikonovv.pdf,http://www.dialog-21.ru/media/4326/petrovama.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/GoncharovaMBetal.pdf,https://link.springer.com/chapter/10.1007/978-3-319-71746-3_10,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LoukachevitchNV.pdf,dialogue_2015_057c0e0d8f09d4930b81f09a47b43c1e55cdf0f3
25,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BorschevVBParteeBH.pdf,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MilicevicJTimoshenkoS.pdf,http://www.dialog-21.ru/media/3904/boguslavskyi.pdf,https://link.springer.com/chapter/10.1007/978-3-030-01204-5_8,http://www.dialog-21.ru/media/3385/bukiagtetal.pdf,dialogue_2012_8787cfea7a25b69b5dba56ed3eeb7289673561f4
26,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZimmerlingAV.pdf,http://www.dialog-21.ru/media/1298/zimmerlingav.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/BogdanovAVGorbunovaIM.pdf,http://www.dialog-21.ru/media/1472/71.pdf,http://www.dialog-21.ru/media/3923/letuchiyab.pdf,dialogue_2014_ff211fd207857cd8dd5df5cafd5fa650acae9252
27,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/IvanovVVetal.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/BlinovPDKotelnikovEV.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/MayorovVDetal.pdf,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BlinovPDKotelnikovEV.pdf,https://link.springer.com/chapter/10.1007/978-3-319-52920-2_20,dialogue_2013_cfb80c5b79ac4637d17048039b0d1c1fc2d68a27
28,http://www.dialog-21.ru/media/3425/shirokovaaetal.pdf,http://www.dialog-21.ru/media/1641/91.pdf,http://www.dialog-21.ru/digest/2001/articles/mihkla/,http://ieeexplore.ieee.org/document/7891858/,https://link.springer.com/chapter/10.1007/978-3-030-01204-5_4,dialogue_2005_3f9418cf64919ed7021d09dba59f226bb762271b
29,http://www.dialog-21.ru/media/3384/berdi%C4%8Devskisaetal.pdf,https://link.springer.com/chapter/10.1007/978-3-030-01204-5_4,https://link.springer.com/chapter/10.1007/978-3-319-26123-2_31,http://www.dialog-21.ru/media/1459/58.pdf,https://link.springer.com/chapter/10.1007/978-3-319-52920-2_16,aist_2013_6b5edb088d7188e47b2f957abb08fa2ece0e86c7
30,http://www.dialog-21.ru/media/3913/gureenkovaoaetal.pdf,dialogue_2019_8cc8a65499e25b4d5ac355966d164f48794e5326,http://www.dialog-21.ru/media/3943/romanovav.pdf,https://link.springer.com/chapter/10.1007/978-3-319-71746-3_21,http://www.dialog-21.ru/media/1273/nekhaiiv.pdf,dialogue_2017_c3891ca5834982ee8e7fc5585002508bf40f0f52
31,http://www.dialog-21.ru/media/3945/shelmanovaodevyatkinda.pdf,https://link.springer.com/chapter/10.1007/978-3-319-26123-2_32,dialogue_2019_8cc8a65499e25b4d5ac355966d164f48794e5326,http://www.dialog-21.ru/media/3943/romanovav.pdf,dialogue_2019_c6a69a34bc0cd49e878540281d36e5f79ac9f00b,aist_2019_efed15362c0565177ddf09bdd07301b016b657e4
32,http://www.dialog-21.ru/media/3961/vinogradovaoietal.pdf,http://www.dialog-21.ru/media/4302/ivanovvv.pdf,http://www.dialog-21.ru/media/4312/laposhina%D0%B0n.pdf,http://www.dialog-21.ru/media/3400/koltsovaoyuetal.pdf,http://www.dialog-21.ru/media/3440/vinogradovaoi.pdf,aist_2019_d6b02078db975995b1bd27b4d370c829357b9ed3
33,http://www.dialog-21.ru/media/4287/arefyevnv.pdf,dialogue_2019_9e8586d83095fc0bb44577c37c4b8661dc21bfd8,ainl_2019_79e0519d19e9fb8fad9598c872ac50824e8d4270,dialogue_2019_b85523b62f37e902a7c897bf5a942bbc2df49ca8,https://link.springer.com/chapter/10.1007/978-3-030-11027-7_12,dialogue_2018_95f62d40c614e814a5fc7514891a9505b3a0e261
34,http://www.dialog-21.ru/media/4312/laposhina%D0%B0n.pdf,http://www.dialog-21.ru/media/4302/ivanovvv.pdf,http://www.dialog-21.ru/media/3961/vinogradovaoietal.pdf,https://link.springer.com/chapter/10.1007/978-3-319-12580-0_9,http://www.dialog-21.ru/media/3422/romanovavetal.pdf,dialogue_2016_26cc181f8f467bde0690517f45d93ddafd8d9288
35,http://www.dialog-21.ru/media/4321/nedoluzhkoa.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/NedoluzhkoAetal.pdf,http://www.dialog-21.ru/media/4322/nedoluzhkoa_lapshinova-koltunskie.pdf,http://www.dialog-21.ru/media/3435/toldovasyuetal.pdf,dialogue_2019_647244be9125ffcfbb9b9add77ab97cb7621fc6b,dialogue_2012_8316b9ea0ead3358a61c81ef3ddf39722ef2a5bd
36,http://www.dialog-21.ru/media/4322/nedoluzhkoa_lapshinova-koltunskie.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/NedoluzhkoAetal.pdf,http://www.dialog-21.ru/media/4321/nedoluzhkoa.pdf,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LeontievAPPetrovaMA.pdf,http://www.dialog-21.ru/media/1341/149.pdf,dialogue_2016_b3b729e5ef8e7563d0480dcf353a60baa4f49710
37,dialogue_2019_74610d867309cc74c401a526aecc13100e3cf53c,http://www.dialog-21.ru/media/4528/konovalovvp_tumunbayarovazb.pdf,http://www.dialog-21.ru/media/1376/126.pdf,http://www.dialog-21.ru/media/3963/zakharovvp.pdf,http://www.dialog-21.ru/media/3385/bukiagtetal.pdf,dialogue_2016_47916c39d8fcdf58f96f3567f729ba36a4cbe76e
38,http://ieeexplore.ieee.org/document/7891792/,https://link.springer.com/chapter/10.1007/978-3-030-01204-5_2,ainl_2019_c1083550f1b05b8be05c36d62d6cf60c60007ffb,http://www.dialog-21.ru/media/1267/marchuckaa.pdf,https://link.springer.com/chapter/10.1007/978-3-319-73013-4_6,aist_2018_825c3a4586be7f4448d2ab54c0405ee028edfc6b
39,https://link.springer.com/chapter/10.1007/978-3-319-26123-2_36,https://link.springer.com/chapter/10.1007/978-3-319-52920-2_13,https://arxiv.org/abs/1709.09686,https://arxiv.org/abs/1711.04154,https://link.springer.com/chapter/10.1007/978-3-030-01204-5_2,ainl_2017_e7653661309b13025c1616f7d8e6860550fc3364
