1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
8	dialogue_2000_31da310fe1e01d085a9db18b6d2dccfc0b339611	ru	0.9852296113967896	http://www.dialog-21.ru/digest/2000/articles/boguslavsky/
9	dialogue_2002_6679f134c915ebe549b0e4ec3af7dff91994adb0	ru	0.985158383846283	http://www.dialog-21.ru/digest/2002/articles/egorushkin/
10	dialogue_2001_b56e0bff6d127cf906a2c197aa138bdd8079300d	ru	0.9849159717559814	http://www.dialog-21.ru/digest/2001/articles/razumikhin/

5. 	dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529	ru	http://www.dialog-21.ru/digest/2000/articles/zimmerling/
1	dialogue_2007_0b09db4182e9aabfee9019a3b1c08e9aafdbbf15	ru	0.9947771430015564	http://www.dialog-21.ru/media/1903/82.pdf
2	dialogue_2006_952c75a21aaab9e275b2c623d2689ab65c756d47	ru	0.9918679594993591	http://www.dialog-21.ru/media/2029/zimmerling.pdf
3	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.9913257956504822	http://www.dialog-21.ru/media/1631/81.pdf
4	dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26	ru	0.9912681579589844	http://www.dialog-21.ru/media/1805/85.pdf
5	dialogue_2015_cfc9663af0a93fd7226ca903ae6a665b6db9f86a	ru	0.9891799688339233	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KisselevaXLTatevosovSG.pdf
6	dialogue_2009_d316abe87b044720d4269dad15ad19ca20a1dbc7	ru	0.988521933555603	http://www.dialog-21.ru/media/1601/51.pdf
7	dialogue_2007_6f11e3941c5b83075a4c089325d863c1349bc148	ru	0.9885097742080688	http://www.dialog-21.ru/media/1845/24.pdf
8	dialogue_2007_8cfe100e3d01b7fd1230dc03e7b56c63171d3a27	ru	0.9883087277412415	http://www.dialog-21.ru/media/1836/15.pdf
9	dialogue_2008_4b61639a03b977fa64b74c54d0e07e10e68cf67a	ru	0.9881700277328491	http://www.dialog-21.ru/media/1742/21.pdf
10	dialogue_2000_94d02238f8caf907a23fd545651bdfde05e342e8	ru	0.988080620765686	http://www.dialog-21.ru/digest/2000/articles/fedorova/

6. 	dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289	ru	http://www.dialog-21.ru/digest/2002/articles/ibragimov/
1	dialogue_2002_08e898c91a3035f7efef659206a9fb5efc3df492	ru	0.9787366986274719	http://www.dialog-21.ru/digest/2002/articles/pisarenko/
2	dialogue_2002_44a1f9cda1797dcd3b84eee0b468a6f761ecaa6a	ru	0.9706246256828308	http://www.dialog-21.ru/digest/2002/articles/potapova/
3	dialogue_2002_d505931dff5eb2ccfa97d2734c7f0de448ea96c9	ru	0.9687691330909729	http://www.dialog-21.ru/digest/2002/articles/semenova/
4	dialogue_2002_6a95446f90fb69075cdda56a754daf5293116352	ru	0.9654592275619507	http://www.dialog-21.ru/digest/2002/articles/emelyanov/
5	dialogue_2002_7a08ec25ad268621c10533fe459b07eac81aa967	ru	0.9541640281677246	http://www.dialog-21.ru/digest/2002/articles/minlos/
6	dialogue_2002_a5629b05bbc5b48ef6873051fb6a32e198a75135	ru	0.9537032842636108	http://www.dialog-21.ru/digest/2002/articles/tscherbakov/
