1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
8	dialogue_2010_9f75f82b69ae66bdd05e2b19249eda020b52d81b	ru	0.9861663579940796	http://www.dialog-21.ru/media/1698/73.pdf
9	dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa	ru	0.9860464334487915	http://www.dialog-21.ru/media/2636/ivlicheva.pdf
10	dialogue_2006_504ecadba8e6c6b4b29e5e1706b5b288a335ae0d	ru	0.985849142074585	http://www.dialog-21.ru/media/1971/krylov.pdf

5. 	dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529	ru	http://www.dialog-21.ru/digest/2000/articles/zimmerling/
1	dialogue_2007_0b09db4182e9aabfee9019a3b1c08e9aafdbbf15	ru	0.994247317314148	http://www.dialog-21.ru/media/1903/82.pdf
2	dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26	ru	0.9933692812919617	http://www.dialog-21.ru/media/1805/85.pdf
3	dialogue_2006_952c75a21aaab9e275b2c623d2689ab65c756d47	ru	0.9916115403175354	http://www.dialog-21.ru/media/2029/zimmerling.pdf
4	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.9908233880996704	http://www.dialog-21.ru/media/1631/81.pdf
5	dialogue_2015_cfc9663af0a93fd7226ca903ae6a665b6db9f86a	ru	0.989396333694458	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KisselevaXLTatevosovSG.pdf
6	dialogue_2002_ab2968cd7d4413294b44b5c69c97ec980e870495	ru	0.9875795841217041	http://www.dialog-21.ru/digest/2002/articles/suleymanov/
7	dialogue_2009_d316abe87b044720d4269dad15ad19ca20a1dbc7	ru	0.9875484704971313	http://www.dialog-21.ru/media/1601/51.pdf
8	dialogue_2010_234c62b8be10198288c3175368507ce8b5008d7d	ru	0.9870834350585938	http://www.dialog-21.ru/media/1679/54.pdf
9	dialogue_2001_cc92cc53022149b217f5c46a1c58ccf6f29d5786	ru	0.9870496988296509	http://www.dialog-21.ru/digest/2001/articles/lander/
10	dialogue_2000_31da310fe1e01d085a9db18b6d2dccfc0b339611	ru	0.9868690967559814	http://www.dialog-21.ru/digest/2000/articles/boguslavsky/

6. 	dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289	ru	http://www.dialog-21.ru/digest/2002/articles/ibragimov/
1	dialogue_2002_08e898c91a3035f7efef659206a9fb5efc3df492	ru	0.9740244150161743	http://www.dialog-21.ru/digest/2002/articles/pisarenko/
2	dialogue_2002_44a1f9cda1797dcd3b84eee0b468a6f761ecaa6a	ru	0.9685325622558594	http://www.dialog-21.ru/digest/2002/articles/potapova/
3	dialogue_2002_6a95446f90fb69075cdda56a754daf5293116352	ru	0.9683142304420471	http://www.dialog-21.ru/digest/2002/articles/emelyanov/
4	dialogue_2002_d505931dff5eb2ccfa97d2734c7f0de448ea96c9	ru	0.9646413326263428	http://www.dialog-21.ru/digest/2002/articles/semenova/
5	dialogue_2004_f1bc2dcaae7147698d986b63337fe6bce3d80385	ru	0.9530192613601685	http://www.dialog-21.ru/media/2561/rubinshtein.pdf
6	dialogue_2002_7a08ec25ad268621c10533fe459b07eac81aa967	ru	0.9528213143348694	http://www.dialog-21.ru/digest/2002/articles/minlos/
7	dialogue_2002_a5629b05bbc5b48ef6873051fb6a32e198a75135	ru	0.9526219367980957	http://www.dialog-21.ru/digest/2002/articles/tscherbakov/
8	dialogue_2002_5e0cd6dab9163f65688759dbce49e40a7fd582a9	ru	0.9488311409950256	http://www.dialog-21.ru/digest/2002/articles/rakitskaya/
9	dialogue_2004_a99a784adec897b7a5e4afdd47c787b09bdcc191	ru	0.9452770948410034	http://www.dialog-21.ru/media/2576/trusova.pdf
10	dialogue_2003_963c0e6513feb869dc7ea994fd4a6689a751ef8c	ru	0.9416947960853577	http://www.dialog-21.ru/media/2676/paselskaja.pdf

7. 	dialogue_2002_977c4161efebe2a2da2bc9070b4c366f6dd7790d	ru	http://www.dialog-21.ru/digest/2002/articles/odintsev/
1	dialogue_2002_95ec453188ac28fa8af193d4c4f0d3989b72eefe	ru	0.9914482831954956	http://www.dialog-21.ru/digest/2002/articles/ermakov/
2	dialogue_2007_51fd2c9f1a772bf1f0642e63ba7a4c1de5089931	ru	0.9910387396812439	http://www.dialog-21.ru/media/1831/10.pdf
3	dialogue_2002_142141991ce299bf6f2a74e154d6c4aa63ab7412	ru	0.990883469581604	http://www.dialog-21.ru/digest/2002/articles/khahalin1/
4	aist_2013_8200539f3cfa7e9b595193f42fd9b49b4f57864d	ru	0.9908146858215332	https://publications.hse.ru/chapters/102449956
5	dialogue_2002_3096502f2fb57b6d2244abc559ef634a5c4bdec7	ru	0.9899778366088867	http://www.dialog-21.ru/digest/2002/articles/chikoidze/
6	dialogue_2001_6ec50ef8ede1cd5c279f2b1297f8431343df74c2	ru	0.9898286461830139	http://www.dialog-21.ru/digest/2001/articles/solovyev/
7	dialogue_2010_31de5df62927b731f2bd1fd8447c407461da3107	ru	0.9889827966690063	http://www.dialog-21.ru/media/1692/67.pdf
8	dialogue_2012_272ab43b2ec575a2888b18a7eb1bc8cc18f3f08e	ru	0.9887324571609497	http://www.dialog-21.ru/media/1385/toldova.pdf
9	dialogue_2014_f805dff2fff141b13a0d99ba9646f50b3122f4b9	ru	0.988722562789917	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZelenkovYuG.pdf
10	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9885804653167725	http://www.dialog-21.ru/media/2598/afanisjev.pdf

8. 	dialogue_2002_189f5dd4351f966d86f836462283ef485f0255cd	ru	http://www.dialog-21.ru/digest/2002/articles/perekrestenko/
1	dialogue_2005_f0716199b0fb1c9cea6ceaba385fde12118646d1	ru	0.9855875968933105	http://www.dialog-21.ru/media/2414/perekrestenkoa.pdf
2	dialogue_2004_362ef4c32d51ff3d0cc37fdfdfc411b9b1be72b1	ru	0.9838219285011292	http://www.dialog-21.ru/media/2557/perekrestenko.pdf
3	dialogue_2006_94358299f43a22fc4a98943d9aae99341b158608	ru	0.9829452037811279	http://www.dialog-21.ru/media/2005/starostin.pdf
4	dialogue_2013_0ac379abcec662bfcdace5103b100f419383220a	ru	0.9827757477760315	http://www.dialog-21.ru/media/1264/lyashevskaya-mitrofanova.pdf
5	dialogue_2011_7200c18071a8974f2f383ed885b576a5bc31bebb	ru	0.9821469783782959	http://www.dialog-21.ru/media/1438/37.pdf
6	dialogue_2002_6679f134c915ebe549b0e4ec3af7dff91994adb0	ru	0.9820428490638733	http://www.dialog-21.ru/digest/2002/articles/egorushkin/
7	dialogue_2007_fae40b13fd3be96582088d47c8d99f918a6dbb18	ru	0.9813057780265808	http://www.dialog-21.ru/media/1842/21.pdf
8	dialogue_2007_9edf7257210eb8d600151bc0c130069bca6f4087	ru	0.9809352159500122	http://www.dialog-21.ru/media/1900/79.pdf
9	dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26	ru	0.9806736707687378	http://www.dialog-21.ru/media/1805/85.pdf
10	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9805652499198914	http://www.dialog-21.ru/media/2598/afanisjev.pdf

9. 	dialogue_2003_e0f3ab61a399630033ac49475bf036c043196202	ru	http://www.dialog-21.ru/media/2611/bolshakov.pdf
